Key,OT,NT
"Pentecost Tuesday","Num 23:4-28","Luke 22:47-71"
"Pentecost Wednesday","Num 24:1-25","Luke 23:1-25"
"Pentecost Thursday","Num 27:12-23","Luke 23:26-56"
"Pentecost Friday","Num 32:1-27","Luke 24:1-27"
"Pentecost Saturday","Num 35:9-30","Luke 24:28-53"
"Holy Trinity","Song 1:1-2:7","John 5:1-18"
"04 Jun","Eccl 12:1-14","John 11:1-16"
"05 Jun","Prov 1:8-33","John 11:17-37"
"06 Jun","Prov 3:5-24","John 11:38-57"
"07 Jun","Prov 4:1-27","John 12:1-19"
"08 Jun","Prov 5:1-23","John 12:20-36a"
"09 Jun","Prov 8:1-21","John 12:36b-50"
"10 Jun","Prov 8:22-36","John 13:1-20"
"11 Jun","Prov 9:1-18","John 13:21-38"
"12 Jun","Prov 10:1-23","John 14:1-17"
"13 Jun","Prov 13:1-25","John 14:18-31"
"14 Jun","Prov 14:1-27","John 15:1-11"
"15 Jun","Prov 15:1-29","John 15:12-27"
"16 Jun","Prov 16:1-24","John 16:1-16"
"17 Jun","Prov 17:1-28","John 16:17-33"
"18 Jun","Prov 20:5-25","John 17:1-26"
"19 Jun","Prov 22:1-21","John 18:1-14"
"20 Jun","Prov 22:22-23:12","John 18:15-40"
"21 Jun","Prov 24:1-22","John 19:1-22"
"22 Jun","Prov 25:1-22","John 19:23-42"
"23 Jun","Prov 27:1-24","John 20:1-18"
"24 Jun","Prov 30:1-33","John 20:19-31"
"25 Jun","Prov 31:10-31","John 21:1-25"
"26 Jun","Josh 1:1-18","Acts 8:1-25"
"27 Jun","Josh 2:1-24","Acts 8:26-40"
"28 Jun","Josh 3:1-17","Acts 9:1-22"
"29 Jun","Josh 4:1-24","Acts 9:23-43"
"30 Jun","Josh 5:1-6:5","Acts 10:1-17"
"01 Jul","Josh 6:6-27","Acts 10:18-33"
"02 Jul","Josh 7:1-26","Acts 10:34-48"
"03 Jul","Josh 8:1-28","Acts 11:1-18"
"04 Jul","Josh 10:1-25","Acts 11:19-30"
"05 Jul","Josh 23:1-16","Acts 12:1-25"
"06 Jul","Josh 24:1-31","Acts 13:1-12"
"07 Jul","Judg 2:6-23","Acts 13:13-41"
"08 Jul","Judg 3:7-31","Acts 13:42-52"
"09 Jul","Judg 4:1-24","Acts 14:1-18"
"10 Jul","Judg 6:1-24","Acts 14:19-15:5"
"11 Jul","Judg 6:25-40","Acts 15:6-21"
"12 Jul","Judg 7:1-23","Gal 1:1-24"
"13 Jul","Judg 13:1-25","Gal 2:1-21"
"14 Jul","Judg 14:1-20","Gal 3:1-22"
"15 Jul","Judg 15:1-16:3","Gal 3:23-4:11"
"16 Jul","Judg 16:4-30","Gal 4:12-31"
"17 Jul","1 Sam 1:1-20","Gal 5:1-26"
"18 Jul","1 Sam 1:21-2:17","Gal 6:1-18"
"19 Jul","1 Sam 2:18-36","Acts 15:22-41"
"20 Jul","1 Sam 3:1-21","Acts 16:1-22"
"21 Jul","1 Sam 4:1-22","Acts 16:23-40"
"22 Jul","1 Sam 5:1-6:16","Acts 18:1-11"
"23 Jul","1 Sam 6:19-7:17","Acts 18:23-28"
"24 Jul","1 Sam 8:1-22","Acts 19:23-21:14"
"25 Jul","1 Sam 9:1-27","Acts 21:15-36"
"26 Jul","1 Sam 10:1-27","Acts 21:37-22:16"
"27 Jul","1 Sam 12:1-25","Acts 22:30-23:11"
"28 Jul","1 Sam 13:1-18","Acts 23:12-35"
"29 Jul","1 Sam 14:47-15:9","Acts 24:1-23"
"30 Jul","1 Sam 15:10-35","Acts 24:24-25:12"
"31 Jul","1 Sam 16:1-23","Acts 25:13-27"
"01 Aug","1 Sam 17:1-19","Acts 26:1-23"
"02 Aug","1 Sam 17:20-47","Acts 26:24-27:8"
"03 Aug","1 Sam 17:48-18:9","Acts 27:9-26"
"04 Aug","1 Sam 18:10-30","Acts 27:27-44"
"05 Aug","1 Sam 19:1-24","Acts 28:1-15"
"06 Aug","1 Sam 20:1-23","Acts 28:16-31"
"07 Aug","1 Sam 20:24-42","1 Cor 1:1-25"
"08 Aug","1 Sam 24:1-22","1 Cor 1:26-2:16"
"09 Aug","1 Sam 25:1-22","1 Cor 3:1-23"
"10 Aug","1 Sam 25:23-44","1 Cor 4:1-21"
"11 Aug","1 Sam 26:1-25","1 Cor 5:1-13"
"12 Aug","1 Sam 28:3-25","1 Cor 6:1-20"
"13 Aug","1 Sam 31:1-13","1 Cor 7:1-24"
"14 Aug","2 Sam 1:1-27","1 Cor 7:25-40"
"15 Aug","2 Sam 5:1-25","1 Cor 8:1-13"
"16 Aug","2 Sam 6:1-19","1 Cor 9:1-23"
"17 Aug","2 Sam 7:1-17","1 Cor 9:24-10:22"
"18 Aug","2 Sam 7:18-29","1 Cor 10:23-11:16"
"19 Aug","2 Sam 11:1-27","1 Cor 11:17-34"
"20 Aug","2 Sam 12:1-25","1 Cor 12:1-13"
"21 Aug","1 Kng 1:1-35","1 Cor 12:14-31"
"22 Aug","1 Kng 2:1-27","1 Cor 13:1-13"
"23 Aug","1 Kng 3:1-15","1 Cor 14:1-22"
"24 Aug","1 Kng 5:1-18","1 Cor 14:23-2:17"
"25 Aug","1 Kng 7:51-8:21","1 Cor 3:1-18"
"26 Aug","1 Kng 8:22-63","1 Cor 4:1-18"
"27 Aug","1 Kng 9:1-10:13","1 Cor 5:1-21"
"28 Aug","1 Kng 11:1-26","1 Cor 6:1-18"
"29 Aug","1 Kng 11:42-12:19","1 Cor 7:1-16"
"30 Aug","1 Kng 12:20-13:34","1 Cor 8:1-24"
"31 Aug","1 Kng 16:29-17:24","1 Cor 9:1-15"
"01 Sep","1 Kng 18:1-19","2 Cor 10:1-13:13"
"02 Sep","1 Kng 18:20-40","Eph 1:1-23"
"03 Sep","1 Kng 19:1-21","Eph 2:1-22"
"04 Sep","2 Kng 2:1-18","Eph 3:1-21"
"05 Sep","2 Kng 2:19-4:7","Eph 4:1-24"
"06 Sep","2 Kng 4:8-37","Eph 4:25-5:14"
"07 Sep","2 Kng 4:38-5:8","Eph 5:15-33"
"08 Sep","2 Kng 5:9-27","Eph 6:1-24"
"09 Sep","2 Kng 6:1-23","Phil 1:1-20"
"10 Sep","2 Kng 9:1-10:29","Phil 1:21-2:11"
"11 Sep","2 Chr 29:1-24","Phil 2:12-30"
"12 Sep","2 Chr 31:1-21","Phil 3:1-21"
"13 Sep","2 Chr 32:1-22","Phil 4:1-23"
"14 Sep","2 Chr 33:1-25","Col 1:1-23"
