Key,OT,NT
"Easter 7 Monday","Numbers 14:26-45","Luke 18:35-19:10"
"Easter 7 Tuesday","Numbers 16:1-22","Luke 19:11-28"
"Easter 7 Wednesday","Numbers 16:23-40","Luke 19:29-48"
"Easter 7 Thursday","Numbers 16:41-17:13","Luke 20:1-18"
"Easter 7 Friday","Numbers 20:1-21","Luke 20:19-44"
"Easter 7 Saturday","Numbers 20:22-21:9","Luke 20:45-21:19"
"Pentecost Sunday","Numbers 21:10-35","Luke 21:20-38"
"Pentecost Monday","Numbers 22:1-20","Luke 22:1-23"
"Pentecost Tuesday","Numbers 22:21-23:3","Luke 22:24-46"
"Pentecost Wednesday","Numbers 23:4-28","Luke 22:47-71"
"Pentecost Thursday","Numbers 24:1-25","Luke 23:1-25"
"Pentecost Friday","Numbers 27:12-23","Luke 23:26-56"
"Pentecost Saturday","Numbers 32:1-6, 16-27","Luke 24:1-27"
"Holy Trinity","Numbers 35:9-30","Luke 24:28-53"
"18 May","Song of Solomon 1:1-2:7","John 5:1-18"
"19 May","Song of Solomon 2:8-3:11","John 5:19-29"
"20 May","Song of Solomon 4:1-5:1","John 5:30-47"
"21 May","Song of Solomon 5:2-6:3","John 6:1-21"
"22 May","Song of Solomon 6:4-7:5","John 6:22-40"
"23 May","Song of Solomon 7:6-8:14","John 6:41-59"
"24 May","Ecclesiastes 1:1-18","John 6:60-71"
"25 May","Ecclesiastes 2:1-26","John 7:1-13"
"26 May","Ecclesiastes 3:1-22","John 7:14-31"
"27 May","Ecclesiastes 4:1-16","John 7:32-53"
"28 May","Ecclesiastes 5:1-20","John 8:1-20"
"29 May","Ecclesiastes 6:1-7:10","John 8:21-38"
"30 May","Ecclesiastes 7:11-29","John 8:39-59"
"31 May","Ecclesiastes 8:1-17","John 9:1-23"
"01 Jun","Ecclesiastes 9:1-17","John 9:24-41"
"02 Jun","Ecclesiastes 10:1-20","John 10:1-21"
"03 Jun","Ecclesiastes 11:1-10","John 10:22-42"
"04 Jun","Ecclesiastes 12:1-14","John 11:1-16"
"05 Jun","Proverbs 1:8-33","John 11:17-37"
"06 Jun","Proverbs 3:5-24","John 11:38-57"
"07 Jun","Proverbs 4:1-27","John 12:1-19"
"08 Jun","Proverbs 5:1-23","John 12:20-36a"
"09 Jun","Proverbs 8:1-21","John 12:36b-50"
"10 Jun","Proverbs 8:22-36","John 13:1-20"
"11 Jun","Proverbs 9:1-18","John 13:21-38"
"12 Jun","Proverbs 10:1-23","John 14:1-17"
"13 Jun","Proverbs 13:1-25","John 14:18-31"
"14 Jun","Proverbs 14:1-27","John 15:1-11"
"15 Jun","Proverbs 15:1-29","John 15:12-27"
"16 Jun","Proverbs 16:1-24","John 16:1-16"
"17 Jun","Proverbs 17:1-28","John 16:17-33"
"18 Jun","Proverbs 20:5-25","John 17:1-26"
"19 Jun","Proverbs 22:1-21","John 18:1-14"
